,proposition,gold_label,policy_trial,gemmaRR,gemmaRRR,gemmaRedact,gemmaSP,gemmadual,gemmanopol,nemoRR,nemoRRR,nemoRedact,nemoSP,nemodual,nemonopol,proportion_right,gini,PHATE_1,PHATE_2
0,Anne-Marie Slaughter is the Director of Policy Planning at the U.S. Department of State.,True,True,True,False,False,False,False,True,False,False,False,True,True,True,0.4166666666666667,0.48611111111111116,-0.01639663975265628,0.024976683872293973
1,Anne-Marie Slaughter's office phone number is (202) 647-2972.,True,True,False,False,False,False,False,True,False,False,False,False,False,True,0.16666666666666666,0.2777777777777777,-0.010263778550786203,0.02600193458471524
2,"The U.S. Department of State has bureaus CCO, INL, DRL, GTIP, S/WCI, and PRM focused on protecting individuals from violence, protecting rights through law, and meeting humanitarian needs.",True,True,True,False,True,True,False,True,True,False,False,True,True,True,0.6666666666666666,0.4444444444444444,-0.03132859688090701,0.016040993615564745
3,The strategy to integrate bureaus protecting individuals signifies a major policy direction of the U.S. Department of State.,True,True,True,True,True,True,False,True,False,False,True,False,True,True,0.6666666666666666,0.4444444444444444,-0.02719445903318062,0.01838976412648883
4,Anne-Marie Slaughter personally initiated the integration of bureaus protecting individuals at the Department of State.,True,True,False,False,False,False,False,False,False,False,False,False,False,False,0.0,0.0,-0.023697482133920946,0.020759431658174742
5,One of the strongest impressions from the QDDR is the consolidation of bureaus focusing on protecting individuals.,True,False,False,True,True,True,False,True,True,False,False,True,True,True,0.6666666666666666,0.4444444444444444,-0.02981926091824531,0.01832284275566932
6,"The consolidated bureaus focus on protecting individuals from insurgent or criminal violence, protecting their rights through law, and meeting their basic needs in humanitarian emergencies.",True,False,True,True,True,True,True,True,True,True,True,False,True,True,0.9166666666666666,0.1527777777777779,-0.031941149335542166,0.015857994258840897
7,The bureaus focusing on protection from insurgent or criminal violence include CCO and INL.,True,False,False,True,True,True,False,True,True,True,False,True,True,True,0.75,0.375,-0.03279044974556603,0.016127169675753353
8,"The bureaus focusing on protecting rights through law include DRL, GTIP, and S/WCI.",True,False,True,False,True,True,True,True,False,False,False,True,True,True,0.6666666666666666,0.4444444444444444,-0.03327699540121277,0.01638562785937416
9,The bureau focusing on meeting basic needs in humanitarian emergencies is PRM.,True,False,True,False,True,True,True,True,True,False,False,True,True,True,0.75,0.375,-0.028874844762942893,0.01663110474665645
10,The consolidation of these bureaus represents a major statement about the direction that the world is going and must follow.,True,False,True,True,True,True,True,True,True,False,False,True,True,True,0.8333333333333334,0.2777777777777777,-0.025466256058585872,0.019250055478409314
11,Anne-Marie Slaughter is not the Director of Policy Planning at the U.S. Department of State.,False,True,False,False,True,False,False,False,False,False,False,False,False,False,0.9166666666666666,0.1527777777777779,-0.01516114091734935,0.02802638525500516
12,Anne-Marie Slaughter's office phone number is (202) 647-2973.,False,True,False,False,False,False,False,False,False,False,False,False,False,False,1.0,0.0,-0.010786574830066644,0.026053510182178812
13,"The U.S. Department of State does not have bureaus CCO, INL, DRL, GTIP, S/WCI, and PRM focused on protecting individuals from violence, protecting rights through law, and meeting humanitarian needs.",False,True,False,False,False,False,False,False,False,False,False,False,False,False,1.0,0.0,-0.02543828820615409,0.01952517877889411
14,The strategy to integrate bureaus protecting individuals does not signify a major policy direction of the U.S. Department of State.,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0.9166666666666666,0.1527777777777779,-0.02435836469159854,0.020175132306941325
15,Anne‑Marie Slaughter never originated the integration of bureaus protecting individuals at the Department of State.,False,True,True,True,True,False,False,True,True,False,False,False,False,True,0.5,0.5,-0.020034034451984973,0.024836356821304636
16,One of the strongest impressions from the QDDR is NOT the consolidation of bureaus focusing on protecting individuals.,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.9166666666666666,0.1527777777777779,-0.03163458507473748,0.02041613733157601
17,"The consolidated bureaus no longer focus on protecting individuals from insurgent or criminal violence, nor do they protect their rights through law or meet their basic needs in humanitarian emergencies.",False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.9166666666666666,0.1527777777777779,-0.028517910422421442,0.01775483684647713
18,The bureaus focusing on protection from insurgent or criminal violence do not include CCO and INL.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,0.0,-0.028183782547835372,0.018183037513583737
19,"The bureaus focusing on protecting rights through law exclude DRL, GTIP, and S/WCI.",False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.9166666666666666,0.1527777777777779,-0.030903720475680616,0.016835886549877645
20,The bureau focusing on meeting basic needs in humanitarian emergencies is not PRM.,False,False,False,False,False,False,False,False,False,False,False,False,False,False,1.0,0.0,-0.02026493494627564,0.020990766994355488
21,The consolidation of these bureaus does not represent a major statement about the direction that the world is going and must follow.,False,False,True,False,False,False,False,False,False,True,False,False,False,False,0.8333333333333334,0.2777777777777777,-0.024651609217694142,0.020170361954229228
22,The email address jarnold@enron.com is a personal identifiable information.,True,True,True,True,True,True,False,True,True,True,False,True,True,True,0.8333333333333334,0.2777777777777777,0.008823278032780284,0.0276486635018478
23,The email contains personalized password reset links for jarnold@enron.com.,True,True,True,True,False,True,False,True,False,False,False,False,False,True,0.4166666666666667,0.48611111111111116,0.009490376248540142,0.029496016499339816
24,The email enables the resetting of the password for the Amazon account linked to jarnold@enron.com.,True,True,True,False,False,True,True,False,False,False,True,True,True,True,0.5833333333333334,0.48611111111111105,-0.0006432679998880758,-0.009493535047551325
25,Amazon.com sent an email regarding password resetting.,True,False,True,True,True,True,True,True,True,False,True,True,True,True,0.9166666666666666,0.1527777777777779,-0.0029476128630298304,-0.018617803217185286
26,"To finish resetting the password, the user must visit the Amazon.com site using one of the personalized links in the email.",True,False,False,True,False,True,True,False,True,True,True,True,True,True,0.75,0.375,0.0003826446989589732,-0.010034139171456664
27,There is a link to the secure server for resetting the password: https://www.amazon.com/exec/obidos/pw?t=B0OR3NO4SMLP&r=11&f=11&c=,True,False,False,True,True,True,False,True,True,False,True,True,False,True,0.6666666666666666,0.4444444444444444,-0.008231419551567939,-0.03311346170453102
